condition	task_id	category	reading_chars	correct	no_intervention	keys	commits	corrections	terminators	display_changes	flicker	stable_overwrites	chosen_overwrites	stale_results_discarded	to_stable	to_chosen	to_provisional	elapsed_ms	sent_presses	input_mismatch	aligned_elapsed_ms	fix_steps	status
O	Q05	句点なし	9	1	0	12	1	0	1	0	0	0	0	0	0	0	0	16412	13	0	-1	convert	ok
O	N05	通常文	16	1	0	17	1	0	1	0	0	0	0	0	0	0	0	18378	18	0	-1	convert	ok
O	E02	英語混在	18	1	1	22	0	0	1	0	0	0	0	0	0	0	0	14331	23	0	-1		ok
O	L05	長文	45	1	0	59	9	1	1	0	0	0	0	0	0	0	0	88727	60	0	-1	convert,pick0,pick0,pick0,pick0,pick0,pick0,pick0,pick0,pick2	ok
O	D05	数値	14	1	0	20	1	0	1	0	0	0	0	0	0	0	0	19611	21	0	-1	convert	ok
O	E05	英語混在	13	1	1	15	0	0	1	0	0	0	0	0	0	0	0	11459	16	0	-1		ok
O	H02	同音異義語	12	1	0	15	1	0	1	0	0	0	0	0	0	0	0	17851	16	0	-1	convert	ok
O	P02	名前	17	1	0	19	1	0	1	0	0	0	0	0	0	0	0	19004	20	0	-1	convert	ok
O	Q02	句点なし	7	1	0	10	1	0	1	0	0	0	0	0	0	0	0	15883	11	0	-1	convert	ok
O	D03	数値	19	1	0	27	1	0	1	0	0	0	0	0	0	0	0	21673	28	0	-1	convert	ok
O	C06	過去訂正	11	1	0	14	3	1	1	0	0	0	0	0	0	0	0	3917	15	0	35954	convert,pick1,pick0,pick0	ok
O	U03	URL	34	0	0	51	1	0	1	0	0	0	0	0	0	0	0	49764	52	0	-1	convert,open-grid,scroll,grid-absent-full,close-grid,resize-no-reading,no-candidate	ok
O	E03	英語混在	12	1	0	17	1	0	1	0	0	0	0	0	0	0	0	18679	18	0	-1	convert	ok
O	D06	数値	17	1	0	22	1	0	1	0	0	0	0	0	0	0	0	20548	23	0	-1	convert	ok
O	P03	名前	15	1	0	20	2	1	1	0	0	0	0	0	0	0	0	31092	21	0	-1	convert,pick0,pick1	ok
O	N03	通常文	15	1	0	19	1	0	1	0	0	0	0	0	0	0	0	19380	20	0	-1	convert	ok
O	L06	長文	48	1	0	63	1	0	1	0	0	0	0	0	0	0	0	36373	64	0	-1	convert	ok
O	P06	名前	16	1	0	17	1	0	1	0	0	0	0	0	0	0	0	18643	18	0	-1	convert	ok
O	H06	同音異義語	18	1	0	27	2	2	1	0	0	0	0	0	0	0	0	40011	28	0	-1	convert,pick1,pick0,pick2	ok
O	C03	過去訂正	12	1	0	17	4	1	1	0	0	0	0	0	0	0	0	4344	18	0	43475	convert,pick0,pick1,pick0,pick0	ok
O	N06	通常文	17	1	0	20	1	0	1	0	0	0	0	0	0	0	0	19503	21	0	-1	convert	ok
O	L03	長文	49	1	0	59	1	0	1	0	0	0	0	0	0	0	0	34578	60	0	-1	convert	ok
O	H03	同音異義語	11	1	0	13	1	0	1	0	0	0	0	0	0	0	0	16852	14	0	-1	convert	ok
O	U06	URL	27	0	0	38	3	0	1	0	0	0	0	0	0	0	0	57311	39	0	-1	convert,pick0,pick0,open-grid,scroll,grid-absent-full,close-grid,resize-no-reading,no-candidate	ok
O	E06	英語混在	12	1	0	19	1	0	1	0	0	0	0	0	0	0	0	19012	20	0	-1	convert	ok
O	Q03	句点なし	8	1	0	12	3	1	1	0	0	0	0	0	0	0	0	34637	13	0	-1	convert,pick0,pick0,pick2	ok
O	Q06	句点なし	10	1	0	13	1	0	1	0	0	0	0	0	0	0	0	16719	14	0	-1	convert	ok
N	D04	数値	13	1	0	18	0	2	1	10	5	0	0	0	2	1	0	24518	19	0	-1	left,pick1	ok
N	U04	URL	23	1	0	35	0	5	1	5	3	0	0	0	5	2	0	48419	36	0	-1	left,pick1,left,left,pick1	ok
N	E01	英語混在	21	1	1	26	0	0	1	4	2	0	0	0	2	0	0	15333	27	0	-1		ok
N	P01	名前	15	1	1	14	0	0	1	11	9	0	0	0	1	0	0	11347	15	0	-1		ok
N	C01	過去訂正	14	1	0	34	0	9	2	20	15	0	0	0	3	1	0	44039	36	0	44339	delete7,retype8,left,pick2	ok
N	E04	英語混在	21	1	0	27	0	1	1	8	6	0	0	0	2	1	0	22044	28	0	-1	pick1	ok
N	Q01	句点なし	5	1	1	5	0	0	1	4	4	0	0	0	0	0	0	7995	6	0	-1		ok
N	D01	数値	14	1	0	24	0	3	1	12	6	0	0	0	4	1	0	58946	25	0	-1	open-grid,scroll,grid-absent-full,close-grid,left,resize-prev+1,return	ok
N	C04	過去訂正	12	1	0	26	0	6	2	10	6	0	0	0	1	1	0	34424	28	0	34800	delete5,retype6,pick1	ok
N	H01	同音異義語	14	1	0	17	0	3	1	11	9	0	0	0	2	1	0	31280	18	0	-1	left,left,pick1	ok
N	U01	URL	20	1	1	25	0	0	1	0	0	0	0	0	0	0	0	14559	26	0	-1		ok
N	Q04	句点なし	9	1	1	10	0	0	1	6	5	0	0	0	0	0	0	9780	11	0	-1		ok
N	L04	長文	50	1	0	58	0	2	1	28	18	0	0	0	9	1	0	39949	59	0	-1	left,pick1	ok
N	L01	長文	50	1	0	68	0	11	1	35	21	0	0	0	9	2	0	97216	69	0	-1	left,left,left,left,left,left,left,pick1,left,left,pick1	ok
N	P04	名前	16	1	0	21	1	3	1	14	10	0	0	0	2	2	0	44434	22	0	-1	left,open-grid,grid-found-s0,pick8,left,pick0	ok
N	N04	通常文	15	1	1	16	0	0	1	7	5	0	0	0	2	0	0	12140	17	0	-1		ok
N	N01	通常文	14	1	1	16	0	0	1	13	7	0	0	0	2	0	0	12318	17	0	-1		ok
N	H04	同音異義語	16	1	1	19	0	0	1	13	8	0	0	0	1	0	0	13165	20	0	-1		ok
N	U02	URL	30	1	0	43	0	7	1	9	6	0	0	0	6	2	0	63738	44	0	-1	left,left,left,pick1,left,left,pick1	ok
N	L02	長文	48	1	1	52	0	0	1	25	19	0	0	0	8	0	0	26081	53	0	-1		ok
N	D02	数値	13	1	1	16	0	0	1	8	5	0	0	0	2	0	0	12049	17	0	-1		ok
N	H05	同音異義語	11	1	1	10	0	0	1	8	5	0	0	0	1	0	0	9963	11	0	-1		ok
N	N02	通常文	13	1	1	13	0	0	1	4	3	0	0	0	2	0	0	10898	14	0	-1		ok
N	C05	過去訂正	12	1	0	32	0	10	2	12	10	0	0	0	2	1	0	43229	34	0	43587	delete8,retype11,left,pick2	ok
N	C02	過去訂正	13	1	0	28	0	7	2	16	13	0	0	0	1	1	0	35162	30	0	35489	delete6,retype6,pick1	ok
N	U05	URL	22	1	1	32	0	0	1	0	0	0	0	0	0	0	0	17811	33	0	-1		ok
N	P05	名前	17	1	1	22	0	0	1	12	8	0	0	0	2	0	0	14034	23	0	-1		ok
N	Q05	句点なし	9	1	1	11	0	0	1	4	3	0	0	0	1	0	0	10040	12	0	-1		ok
N	N05	通常文	16	1	1	16	0	0	1	8	6	0	0	0	3	0	0	12090	17	0	-1		ok
N	E02	英語混在	18	1	0	24	0	2	1	4	3	0	0	0	2	1	0	26613	25	0	-1	left,pick1	ok
N	L05	長文	45	1	0	51	0	2	1	30	20	0	0	0	8	1	0	37167	52	0	-1	left,pick2	ok
N	D05																						abort
N	E05	英語混在	13	1	1	15	0	0	1	3	2	0	0	0	1	0	0	11566	16	0	-1		ok
N	H02	同音異義語	12	1	1	14	0	0	1	8	5	0	0	0	2	0	0	11275	15	0	-1		ok
N	P02	名前	17	1	1	18	0	0	1	12	9	0	0	0	2	0	0	12716	19	0	-1		ok
N	Q02	句点なし	7	1	1	9	0	0	1	8	5	0	0	0	0	0	0	9407	10	0	-1		ok
N	D03	数値	19	1	1	26	0	0	1	11	6	0	0	0	4	0	0	15450	27	0	-1		ok
N	C06	過去訂正	11	1	0	30	0	10	2	10	8	0	0	0	2	1	0	41836	32	0	42131	delete8,retype10,left,pick2	ok
N	U03	URL	34	0	0	51	0	0	1	3	1	0	0	0	12	0	0	44345	52	0	-1	open-grid,scroll,grid-absent-full,close-grid,resize-no-reading,no-candidate	ok
N	E03	英語混在	12	1	1	16	0	0	1	7	5	0	0	0	2	0	0	12149	17	0	-1		ok
N	D06	数値	17	1	0	24	0	3	1	14	7	0	0	0	3	1	0	32560	25	0	-1	left,left,pick1	ok
N	P03	名前	15	1	1	17	0	0	1	13	8	0	0	0	2	0	0	12539	18	0	-1		ok
N	N03	通常文	15	1	1	18	0	0	1	14	8	0	0	0	2	0	0	12715	19	0	-1		ok
N	L06	長文	48	1	1	62	0	0	1	45	24	0	0	0	8	0	0	28958	63	0	-1		ok
N	P06	名前	16	1	1	16	0	0	1	11	9	0	0	0	2	0	0	12234	17	0	-1		ok
N	H06	同音異義語	18	1	0	28	0	5	1	15	6	0	0	0	3	2	0	46131	29	0	-1	left,pick2,left,left,pick1	ok
N	C03																						abort
N-rest	D05																						abort
N-rest	C03	過去訂正	12	1	0	30	0	9	2	13	9	0	0	0	3	1	0	41722	32	0	42108	delete7,retype8,left,pick1	ok
N-rest	N06	通常文	17	1	1	19	0	0	1	16	11	0	0	0	2	0	0	13341	20	0	-1		ok
N-rest	L03	長文	49	1	0	60	1	1	1	41	26	0	0	0	9	1	0	41023	61	0	-1	left,pick0	ok
N-rest	H03	同音異義語	11	1	1	12	0	0	1	7	6	0	0	0	1	0	0	10558	13	0	-1		ok
N-rest	U06	URL	27	1	0	46	0	11	1	4	3	0	0	0	8	5	0	88959	47	0	-1	pick1,left,left,pick1,left,left,pick1,left,pick1,left,pick1	ok
N-rest	E06	英語混在	12	1	1	18	0	0	1	7	4	0	0	0	1	0	0	12651	19	0	-1		ok
N-rest	Q03	句点なし	8	1	0	9	0	1	1	4	4	0	0	0	1	1	0	15592	10	0	-1	pick2	ok
N-rest	Q06	句点なし	10	1	1	12	0	0	1	7	6	0	0	0	0	0	0	10440	13	0	-1		ok
